,0,1,2,3,4
0,Python工程师,信必优(深圳)信息技术有限公司,1.2-1.8万\/月,广州-海珠区,计算机软件
1,Python中级开发工程师,福州-闽侯县,福建法意科技有限公司,0.8-1.5万\/月,计算机软件
2,广东联通通信建设有限公司,广州-天河区,通信\/电信\/网络设备,Python开发工程师,0.8-1.2万\/月
3,上海,Python开发工程师,计算机服务(系统、数据服务、维修),1-1.5万\/月,上海华铭智能终端设备股份有限公司
4,江苏网域科技有限公司,Python开发工程师,计算机服务(系统、数据服务、维修),镇江-润州区,0.8-1万\/月
5,广州-黄埔区,12-17万\/年,中介服务,广州乙禾航运风险咨询有限公司,python开发工程师
6,上海-静安区,python后端开发,专业服务(咨询、人力资源、财会),上海财才网信息科技有限公司,2-3万\/月
7,深圳-龙华区,Python开发工程师,1-1.5万\/月,广州赛意信息科技股份有限公司,计算机软件
8,Python开发工程师,上海-浦东新区,智桦企业管理咨询（上海）有限公司,1.2-1.7万\/月,计算机软件
9,互联网\/电子商务,广州市西美信息科技有限公司,广州,Python 开发工程师,0.7-1万\/月
10,广州思帆信息科技有限公司,互联网\/电子商务,Python开发工程师,广州-番禺区,0.8-1.3万\/月
11,4.5-6千\/月,大连星宇科技有限公司,大连,python开发（可实习),计算机软件
12,南京道熵信息技术有限公司,Python开发工程师,0.8-1.5万\/月,计算机软件,桂林
13,济南诺信德科技有限公司,济南-高新区,Python开发（6-8K）周末双休,计算机软件,6-8千\/月
14,上海-浦东新区,达而观信息科技（上海）有限公司,Python高级开发工程师,1.5-3万\/月,计算机软件
15,济南-市中区,Python开发工程师,0.7-1.1万\/月,北京欧倍尔软件技术开发有限公司山东分公司,计算机软件
16,武汉-洪山区,制药\/生物工程,Python开发工程师,0.9-1.2万\/月,长沙扬生科技有限公司
17,广州-天河区,互联网\/电子商务,广州四千里数据科技有限公司,Python（RPA）开发工程师,1.3-1.8万\/月
18,互联网\/电子商务,重庆大云端科技有限公司,python软件工程师,0.7-1.2万\/月,重庆-渝北区
19,Python开发工程师,深圳市安璐家居有限公司,1-1.5万\/月,深圳-龙岗区,计算机软件
20,电子技术\/半导体\/集成电路,Python开发工程师(中级）,广州市正成信息科技有限公司,东莞,0.8-1.1万\/月
21,Python开发工程师,武汉游必游网络科技有限公司南昌分公司,南昌-红谷滩新区,计算机软件,0.8-1万\/月
22,互联网\/电子商务,深圳市前海房极客网络科技有限公司,1-1.5万\/月,Python爬虫开发工程师,深圳-南山区
23,四川长虹电器股份有限公司,1-1.5万\/月,Python高级研发工程师,家具\/家电\/玩具\/礼品,成都-高新区
24,广东省南方传媒发行物流有限公司,文字媒体\/出版,广州-越秀区,1-1.7万\/月,Python数据开发工程师
25,沈阳-浑南区,东软集团股份有限公司,网络安全产品研发工程师（C\/Python）,1-1.5万\/月,计算机软件
26,慧咨环球（中国）信息技术有限公司,Python软件工程师\/Python Software Engineer,1.2-2.4万\/月,南京-秦淮区,计算机软件
27,15-30万\/年,通信\/电信\/网络设备,Python开发工程师,上海-闵行区,上海敏拾智能科技有限公司
28,电子技术\/半导体\/集成电路,上海楷领科技有限公司,上海-浦东新区,1-1.5万\/月,初级Python后端开发工程师
29,Python开发工程师,北京点点智联科技有限公司,0.6-1.2万\/月,计算机软件,北京-丰台区
30,广州-天河区,Python开发工程师,云达信息技术有限公司,0.8-1.5万\/月,计算机软件
31,成都匠翎信息技术有限公司,成都-高新区,4-6千\/月,python开发助理,计算机软件
32,河南八六三软件股份有限公司,Python开发（RPA方向\/双休\/五险一金）,郑州-中原区,计算机软件,0.6-1万\/月
33,江苏硕科信息技术有限公司,Python开发工程师,无锡-滨湖区,计算机软件,6-9千\/月
34,深圳市众云网有限公司,1.3-2.5万\/月,Python开发工程师,计算机服务(系统、数据服务、维修),深圳-南山区
35,1.5-2万\/月,广州-天河区,广州烽云信息科技有限公司,通信\/电信运营、增值服务,PYTHON开发工程师（年底双薪+五险一金）
36,青岛同济孵化器有限公司,python 爬虫开发,5-9千\/月,中介服务,青岛-黄岛区
37,深圳-龙华区,Python开发工程师,深圳创盈芯实业有限公司,计算机硬件,0.8-1万\/月
38,原材料和加工,1.5-2.2万\/月,Python开发工程师,东莞群福塑胶制品有限公司,东莞-厚街镇
39,广州-天河区,互联网\/电子商务,广州鑫尼网络科技有限公司,0.8-1万\/月,Python开发
40,广州-天河区,Python开发工程师,1-1.5万\/月,计算机软件,广东中思拓大数据研究院有限公司
41,Python开发工程师,1.2-1.8万\/月,深圳博沃智慧科技有限公司,深圳-南山区,计算机软件
42,上铁互联信息技术江苏有限公司,互联网\/电子商务,上海-静安区,1-1.5万\/月,Python初级开发工程师
43,苏州-相城区,互联网\/电子商务,中亿丰数字科技有限公司,Python开发工程师,1-1.5万\/月
44,深圳-南山区,计算机服务(系统、数据服务、维修),深圳市云盾科技有限公司,2-4万\/月,Python高级开发工程师
45,互联网\/电子商务,南京-浦口区,1-1.5万\/月,江苏立维互联科技有限公司,python后端开发工程师 10k-15k
46,Python开发工程师,广州-黄埔区,东莞市龙达信息科技有限公司广州分公司,1-1.5万\/月,专业服务(咨询、人力资源、财会)
47,Python开发工程师,杭州-余杭区,1-1.5万\/月,爱才集团有限公司,计算机软件
48,上海锐翌生物科技有限公司,制药\/生物工程,Python开发工程师,1.2-1.8万\/月,杭州-西湖区
49,互联网\/电子商务,python编程,好未来教育（原学而思教育),宁波,0.5-1万\/月
